OBJECTID,Shape,SeepID,Date,Seep_Name,Latitude,Longitude,Clay_Layer_Presence,Clay_Layer_Depth__cm,Temperature,Conductivity_mScm,Salinity,DO,DOmgL,pH,Water_Presence,Flowing_Water,Blackened_Leaves,Visible_Exit,Phosphates_ppm,Nitrates_ppm,Radon__Bq_m3,Stygobromus,Crangonyx,Caecidotea_kenki,Caecidotea_jeffersoni,Caecidotea_sp__Unknown,Fontigens,Inhabitants,Species_identified,PARKNAME,Notes,ORIG_LABEL,SGMC_LABEL,UNIT_LINK,UNIT_AGE,ROCKTYPE1,ROCKTYPE2,AWC,CLAY,KFFACT,OM,PERM,THICK,HYGRP,DRAIN,LL,IFHYDRIC,AFLDFREQ,Precipmm,Snowfallmm,Snowdepthmm,MaxtempC,MintempC,ElevationM,SlopeDegree,TWetnessI,SEEP_DIST,INHAB_DIST,ROAD_FID,ROAD_DIST,TRAIL_FID,TRAIL_DIST,OUTFALL_FID,OUTFALL_DIST,IMPERV_DIST,BORDER_FID,BORDER_DIST,BORDER_FEAT,radius,area_circ,compactness,core_area,core_per,neighbor_d,Seeps_per_m2,Proportion_Inhab,Count_Species_inpatch,Seepsperpatch,Count_Inhab_inpatch,Is_Calvert,Is_Upland,Is_Water,Is_Potomac,Is_Lowland,SoilC_FAC1,SoilC_FAC2,SoilC_FAC3,SoilC_FAC4,SoilC_FAC5,SoilC_FAC6,Rock1_gravel,Rock1_sand,Rock1_water,Rock2_none,Rock2_clayormud,Rock2_sand,Bin_hotspot,Bin_inhabited
101,Point,NACE158,3/27/2017,T17-4 Site 15,38.860616,-76.975534,N,<Null>,13.03,0.126,0.08,68.2,7.03,5.53,Y,Y,Y,N,21.125,0.645,474.73,1,1,1,0,0,0,3,2 Crangonyx shoemakeri and 2 Stygobromus. 1 ovigerous Caecidotea kenki?,FORT CIRCLE PARK,"May have done this site at the beginning of the season. At 35cm down there is an impermeable layer, above this is sand. There was a pellicle on the water surface.",Kp,Kp;5,Potomac Gr,Cretaceous,gravel,sand,.11,19.8,.3,.4,3.99,77.8,2.9,3.6,25.9,.1,3.8,0,0,0,26.1,7.2,44.097,11.69065,3.703761,5.29744,0,2237,122.109815,5,35.572896,105,123.720586,101.010362,32,2.698658,NatParkBorders,3336.479848,34972487.053075,.016303,445887.225215,7895.410696,11.78397,5.8E-005,.242424,3,33,8,0,0,0,1,0,.186246464006815,-1.04314517528022,-.0859027806960936,.113601494938897,.56043526013831,-2.40164808928967E-007,1,0,0,0,0,1,1,1
102,Point,NACE135,12/29/2016,T17-5 Site 7,38.860636,-76.9756,Y,32,9.82,0.19,0.13,51.8,5.85,4.49,Y,Y,Y,Y,9.545,0.552,2989.74,1,1,0,0,0,0,2,2 Stygobromus  and one Crangonyx shoemakeri.,FORT STANTON PARK,"sandy clay at 32 cm , amphipods plus 1 isopod ( we did not collect isopod)",Kp,Kp;5,Potomac Gr,Cretaceous,gravel,sand,.11,19.8,.3,.4,3.99,77.8,2.9,3.6,25.9,.1,3.8,0,0,0,17.8,4.4,44.93,18.07901,3.09,5.29744,0,2237,127.061081,5,40.403522,105,128.158993,106.139762,32,.698719,NatParkBorders,3336.479848,34972487.053075,.016303,445887.225215,7895.410696,11.78397,5.8E-005,.242424,3,33,8,0,0,0,1,0,.186246464006815,-1.04314517528022,-.0859027806960936,.113601494938897,.56043526013831,-2.40164808928967E-007,1,0,0,0,0,1,1,1
128,Point,NACE188,3/29/2018,T24-6 Site 14,38.86659,-76.954737,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Y,Y,Y,Y,<Null>,<Null>,<Null>,0,0,0,1,0,1,2,1 fontigens botterimi and 3 Cacidotea jeffersoni,FORT CIRCLE PARK,not enough water to do water chem. Water coming out of moss- can't do clay. Collected isopods and snail in 80%,Kp,Kp;5,Potomac Gr,Cretaceous,gravel,sand,.11,19.8,.3,.4,3.99,77.8,2.9,3.6,25.9,.1,3.8,.8,0,0,8.3,-1.1,57.949,7.84665,3.211077,15.890744,0,10117,20.330371,5,119.770301,529,14.974184,16.259969,61,3.767437,NatParkBorders,244.164452,187289.90797,.410902,62055.179905,1449.392105,1.107872,.000169,.538462,3,13,7,0,0,0,1,0,.186246464006815,-1.04314517528022,-.0859027806960936,.113601494938897,.56043526013831,-2.40164808928967E-007,1,0,0,0,0,1,1,1
1,Point,NACE98,12/29/2015,T3-2 Site 1,38.809821,-77.01619,N,<Null>,11.61,0.28,0.18,36,3.91,7.66,Y,N,Y,N,<Null>,<Null>,<Null>,0,0,0,0,0,0,0,<Null>,"GWMP, SECTION 4, MD",rained night before. Lots of earthworms. No clay up to 21 cm down,Ql,Ql;5,Lowland Deps,Quaternary,gravel,sand,.15,18.7,.31,.7,2.52,69.3,3.5,5.2,26.9,.6,3.9,1.5,0,0,20,6.1,9.068,3.797265,4.24632,206.328614,1059.075698,675,118.846542,19,316.382834,57,57.507022,115.602711,3,30.519856,NatParkBorders,1738.758261,9497907.13007,.045524,351855.668158,6320.858508,2.048477,9E-006,0,0,4,0,0,0,0,0,1,1.51895949007794,.736185130936861,3.73274281909845,5.61624454901634,-1.47650013561727,-1.99303030967712E-007,1,0,0,0,0,1,0,0
2,Point,NACE97,12/29/2015,T2-1 Site 1,38.809959,-77.019088,Y,7,10.22,0.172,0.11,44.3,4.96,7.46,Y,N,N,N,121.782,0.182,<Null>,0,0,0,0,0,0,0,<Null>,"GWMP, SECTION 4, MD",rained night before. Lots of dead earthworms,Water,water;0,MDwater;0,Holocene,water, ,.15,18.7,.31,.7,2.52,69.3,3.5,5.2,26.9,.6,3.9,1.5,0,0,20,6.1,11.476,2.597095,6.412803,245.912538,1263.600185,1082,257.201406,19,561.638545,57,246.432034,257.20138,3,34.044488,NatParkBorders,1738.758261,9497907.13007,.045524,351855.668158,6320.858508,2.048477,9E-006,0,0,4,0,0,0,1,0,0,1.51895949007794,.736185130936861,3.73274281909845,5.61624454901634,-1.47650013561727,-1.99303030967712E-007,0,0,1,1,0,0,0,0
3,Point,NACE96,12/29/2015,T2-1 Site 2,38.811377,-77.017329,N,<Null>,11.84,0.604,0.33,45.3,4.39,7.84,<Null>,Y,N,Y,240.184,18.941,<Null>,0,0,0,0,0,0,0,<Null>,"GWMP, SECTION 4, MD",rained night before. Could be the stream head. No clay up to 12 cm down. Lots of rocks.,Ql,Ql;5,Lowland Deps,Quaternary,gravel,sand,.15,18.7,.31,.7,2.52,69.3,3.5,5.2,26.9,.6,3.9,1.5,0,0,20,6.1,7.508,7.607481,3.840043,206.328614,1026.461442,64,45.988635,19,485.518455,57,248.994157,45.988698,3,49.555115,NatParkBorders,1738.758261,9497907.13007,.045524,351855.668158,6320.858508,2.048477,9E-006,0,0,4,0,0,0,0,0,1,1.51895949007794,.736185130936861,3.73274281909845,5.61624454901634,-1.47650013561727,-1.99303030967712E-007,1,0,0,0,0,1,0,0
4,Point,NACE95,12/29/2015,T2-1 Site 1,38.8125,-77.019398,Y,24,12.26,0.616,0.4,38.5,4.12,7.99,Y,Y,Y,Y,<Null>,4.253,<Null>,0,0,0,0,0,0,0,<Null>,"GWMP, SECTION 4, MD",rained night before. Could be runoff- very clear water and not as many blackened leaves.,Ql,Ql;5,Lowland Deps,Quaternary,gravel,sand,.15,18.7,.31,.7,2.52,69.3,3.5,5.2,26.9,.6,3.9,1.5,0,0,20,6.1,10.209,12.5985,6.412803,219.481304,1142.32266,1082,112.175498,19,651.132657,189,431.774073,112.175486,3,100.402093,NatParkBorders,1738.758261,9497907.13007,.045524,351855.668158,6320.858508,2.048477,9E-006,0,0,4,0,0,0,0,0,1,1.51895949007794,.736185130936861,3.73274281909845,5.61624454901634,-1.47650013561727,-1.99303030967712E-007,1,0,0,0,0,1,0,0
5,Point,NACE13,4/23/2015,T5-3 Site 1,38.81491,-77.00919,Y,90,14.08,0.118,0.07,2,0.2,5.8,Y,N,Y,Y,30.241,0.0466,550,0,0,0,0,0,0,0,<Null>,"GWMP, SECTION 4, MD",soil sample was very sandy. Found a box turtle there,Ql,Ql;5,Lowland Deps,Quaternary,gravel,sand,.13,26.7,.26,.4,2.33,59.8,2.7,3.5,34.1,.1,3.8,0,0,0,20,7.8,12.185,0,3.840043,26.504308,242.292418,1628,150.260872,19,279.12677,153,349.247484,150.260827,4,.484732,NatParkBorders,1428.158569,6407702.88333,.06631,354893.199249,6046.97337,2.048477,4E-005,.411765,3,17,7,0,0,0,0,1,-.827780146391282,.932845173004755,-.102419508096087,.0477703767891292,.210318811541399,-2.1990854293108E-007,1,0,0,0,0,1,0,0
6,Point,NACE10,4/23/2015,T5-3 Site 1,38.81496,-77.00952,Y,30,14.08,0.074,0.04,3.5,0.35,5.57,Y,N,N,Y,53.266,0.0466,1280.902453,0,0,0,0,0,0,0,<Null>,SHEPERD PARKWAY,"clear water, cam back the enxt week and it was dry",Ql,Ql;5,Lowland Deps,Quaternary,gravel,sand,.13,26.7,.26,.4,2.33,59.8,2.7,3.5,34.1,.1,3.8,0,0,0,20,7.8,13.489,6.058467,4.24632,26.504308,263.139845,1628,127.546371,19,264.466771,153,330.210488,127.386627,4,19.199684,NatParkBorders,1428.158569,6407702.88333,.06631,354893.199249,6046.97337,2.048477,4E-005,.411765,3,17,7,0,0,0,0,1,-.827780146391282,.932845173004755,-.102419508096087,.0477703767891292,.210318811541399,-2.1990854293108E-007,1,0,0,0,0,1,0,0
7,Point,NACE14,4/23/2015,T5-3 Site 2,38.81494,-77.00999,N,<Null>,10.06,0.095,0.06,11,1.24,5.77,Y,N,N,N,27.909,0.271,2565.517667,0,0,0,0,0,0,0,<Null>,BALD EAGLE HILL,"clear water, came back the next week and it was dry",Kp,Kp;5,Potomac Gr,Cretaceous,gravel,sand,.13,26.7,.26,.4,2.33,59.8,2.7,3.5,34.1,.1,3.8,0,0,0,20,7.8,14.731,7.938859,<Null>,42.407054,298.369074,1628,95.103846,19,242.422348,153,302.101776,85.11389,4,13.193705,NatParkBorders,1428.158569,6407702.88333,.06631,354893.199249,6046.97337,2.048477,4E-005,.411765,3,17,7,0,0,0,1,0,-.827780146391282,.932845173004755,-.102419508096087,.0477703767891292,.210318811541399,-2.1990854293108E-007,1,0,0,0,0,1,0,0
8,Point,NACE11,4/30/2015,T5-3 Site 2,38.81546,-77.00944,Y,10,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,N,N,Y,N,<Null>,<Null>,<Null>,0,0,0,0,0,0,0,<Null>,SHEPERD PARKWAY,Need to come back and sample and get water chem…looked like a seep but was dry when we came to sample because it was so hot.,Kp,Kp;5,Potomac Gr,Cretaceous,gravel,sand,.13,26.7,.26,.4,2.33,59.8,2.7,3.5,34.1,.1,3.8,0,0,0,21.1,8.3,17.437,6.30816,4.24632,68.578953,219.84623,1627,154.320843,19,327.354904,153,388.125639,147.544882,4,59.69097,NatParkBorders,1428.158569,6407702.88333,.06631,354893.199249,6046.97337,2.048477,4E-005,.411765,3,17,7,0,0,0,1,0,-.827780146391282,.932845173004755,-.102419508096087,.0477703767891292,.210318811541399,-2.1990854293108E-007,1,0,0,0,0,1,0,0
9,Point,NACE12,4/30/2015,T5-3 Site 3,38.81599,-77.00932,N,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,N,N,<Null>,N,<Null>,<Null>,<Null>,0,0,0,0,0,0,0,<Null>,SHEPERD PARKWAY,"need to come back to sample for amphipods, radon, and water chem. Dug up to 30 cm and did not find clay.",Kp,Kp;5,Potomac Gr,Cretaceous,gravel,sand,.13,26.7,.26,.4,2.33,59.8,2.7,3.5,34.1,.1,3.8,0,0,0,21.1,8.3,26.218,7.138165,<Null>,68.578953,179.542487,112,135.94721,19,392.047311,153,449.05463,135.947222,5,59.30192,NatParkBorders,1428.158569,6407702.88333,.06631,354893.199249,6046.97337,2.048477,4E-005,.411765,3,17,7,0,0,0,1,0,-.827780146391282,.932845173004755,-.102419508096087,.0477703767891292,.210318811541399,-2.1990854293108E-007,1,0,0,0,0,1,0,0
10,Point,NACE21,4/16/2015,T6-2 Site 5,38.81677,-77.00707,Y,40,11.75,0.17,0.11,6.5,0.7,4.77,Y,N,Y,Y,10.13,0.0466,15710.760569,0,0,0,0,0,0,0,<Null>,SHEPERD PARKWAY,"re-did the pH on 4.23.15 and got 5.3, plus it had just rained so the previous pH was probably right.",Ql,Ql;5,Lowland Deps,Quaternary,gravel,sand,.13,26.7,.26,.4,2.33,59.8,2.7,3.5,34.1,.1,3.8,21.3,0,0,18.9,9.4,8.587,2.478492,6.412803,51.856263,51.856263,112,245.382847,19,547.132302,200,568.619561,245.382847,4,27.810954,NatParkBorders,1428.158569,6407702.88333,.06631,354893.199249,6046.97337,2.048477,4E-005,.411765,3,17,7,0,0,0,0,1,-.827780146391282,.932845173004755,-.102419508096087,.0477703767891292,.210318811541399,-2.1990854293108E-007,1,0,0,0,0,1,0,0
11,Point,NACE20,4/9/2015,T6-2 Site 4,38.81693,-77.00764,Y,18,9.75,0.19,0.13,2.9,0.32,4.55,Y,Y,Y,Y,8.381,0.832,<Null>,0,1,0,0,0,0,1,"Crangonyx shoemaker, tabanidae, terrestrial beetle, pelecypoda",SHEPERD PARKWAY,"Red iron mud emerging from the tree stump. In the soil sample there was heavy organic matter and then a change to clay, silt, sand). Re-did the pH and got 4.57 on 4.16.15 and 4.64 on 4.23.15",Ql,Ql;5,Lowland Deps,Quaternary,gravel,sand,.13,26.7,.26,.4,2.33,59.8,2.7,3.5,34.1,.1,3.8,.3,0,0,22.2,6.7,12.138,8.270627,6.412803,51.856263,0,112,195.013124,19,551.159702,200,566.901708,195.013124,5,30.913163,NatParkBorders,1428.158569,6407702.88333,.06631,354893.199249,6046.97337,2.048477,4E-005,.411765,3,17,7,0,0,0,0,1,-.827780146391282,.932845173004755,-.102419508096087,.0477703767891292,.210318811541399,-2.1990854293108E-007,1,0,0,0,0,1,0,1
12,Point,NACE19,4/9/2015,T6-2 Site 3,38.8175,-77.00695,N,<Null>,9.71,0.209,0.14,31.8,3.61,6.22,Y,Y,Y*,Y,8.381,0.681,<Null>,0,1,0,0,0,0,1,"Crangonyx shoemaker, chironomidae",SHEPERD PARKWAY,"yes there were some blackened leaves but not as many as usual…it was actually in a streambed so they might have gotten flushed away. Had to re-do the pH because the first.  time it measured at 4.19. Soil was mix of clay, cobble, & lome but no clay layer.",Ql,Ql;5,Lowland Deps,Quaternary,gravel,sand,.13,26.7,.26,.4,2.33,59.8,2.7,3.5,34.1,.1,3.8,.3,0,0,22.2,6.7,8.159,5.006653,10.5514,58.743953,0,1126,238.449982,19,616.10904,200,499.370042,238.449982,5,14.274821,NatParkBorders,1428.158569,6407702.88333,.06631,354893.199249,6046.97337,2.048477,4E-005,.411765,3,17,7,0,0,0,0,1,-.827780146391282,.932845173004755,-.102419508096087,.0477703767891292,.210318811541399,-2.1990854293108E-007,1,0,0,0,0,1,0,1
13,Point,NACE18,3/26/2015,T6-2 Site 2C,38.817893,-77.006542,Y,20,8.83,0.096,0.07,57.2,6.63,6.25,Y,N,Y,Y,13.919,0.672,<Null>,0,0,0,0,0,0,0,<Null>,SHEPERD PARKWAY,found lots of grubs,Ql,Ql;5,Lowland Deps,Quaternary,gravel,sand,.13,26.7,.26,.4,2.33,59.8,2.7,3.5,34.1,.1,3.8,0,0,0,7.2,-2.2,6.016,3.737235,3.733053,47.428132,47.428132,1126,219.815023,19,669.487281,200,447.770634,212.051603,6,12.12577,NatParkBorders,1428.158569,6407702.88333,.06631,354893.199249,6046.97337,2.048477,4E-005,.411765,3,17,7,0,0,0,0,1,-.827780146391282,.932845173004755,-.102419508096087,.0477703767891292,.210318811541399,-2.1990854293108E-007,1,0,0,0,0,1,0,0
14,Point,NACE17,3/26/2015,T6-2 Site 2B,38.818175,-77.006489,Y,60,8.5,0.136,0.09,3.6,0.43,6.47,Y,Y,Y,Y,10.713,0.685,<Null>,0,1,0,0,0,0,1,"Crangonyx shoemaker, terrestrial isopod",FORT CIRCLE PARK,<Null>,Ql,Ql;5,Lowland Deps,Quaternary,gravel,sand,.13,26.7,.26,.4,2.33,59.8,2.7,3.5,34.1,.1,3.8,0,0,0,7.2,-2.2,6.541,6.722098,6.412803,47.428132,0,1126,179.840213,19,713.505927,200,402.369058,167.638093,6,12.398385,NatParkBorders,1428.158569,6407702.88333,.06631,354893.199249,6046.97337,2.048477,4E-005,.411765,3,17,7,0,0,0,0,1,-.827780146391282,.932845173004755,-.102419508096087,.0477703767891292,.210318811541399,-2.1990854293108E-007,1,0,0,0,0,1,0,1
16,Point,NACE15,3/19/2015,T6-2 Site 1,38.81919,-77.00596,Y,15,6.35,0.491,0.37,83.4,10.26,6.86,Y,N,Y,Y,9.256,1.2745,2465.034486,0,0,0,0,0,0,0,"terrestrial isopod, collemboya",BALD EAGLE HILL,<Null>,Ql,Ql;5,Lowland Deps,Quaternary,gravel,sand,.13,26.7,.26,.4,2.33,59.8,2.7,3.5,34.1,.1,3.8,0,0,0,21.1,.6,10.225,7.454587,6.412803,71.38025,71.38025,3292,87.779485,19,828.011429,200,287.819279,78.260456,9,52.151484,NatParkBorders,1428.158569,6407702.88333,.06631,354893.199249,6046.97337,2.048477,4E-005,.411765,3,17,7,0,0,0,0,1,-.827780146391282,.932845173004755,-.102419508096087,.0477703767891292,.210318811541399,-2.1990854293108E-007,1,0,0,0,0,1,0,0
